,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37
10FTHF5GLUtm,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0
10FTHF6GLUtl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10FTHF6GLUtm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10FTHF7GLUtl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10FTHF7GLUtm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10FTHFtl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10FTHFtm,-0.0012020000000347866,-0.0014375199999676624,-0.0018470100000058665,-0.0010910099999819067,-0.0021269999999731226,-0.0007596299999477196,-0.0004370100000414823,-0.0014479999999821302,-0.0017310099999576778,-0.0005850000000009459,-0.0016570000000228902,-0.000325999999972737,-0.001478005151511752,-0.002660999999989145,-0.0009669999999459832,-0.0016430250000212256,-0.0002770099999906961,-0.00045999999997547997,-0.0010569999999461288,-0.0006389999999782957,-0.00035185126864689664,-0.0010320000000092477,-0.0014624300000605215,-0.0012089519561868654,-0.003632629999970049,-0.0001899999999750435,-0.001619010000013077,-0.0016184300000077199,-0.0012860000000500804,-0.0017000000000280124,-0.0008699999999635112,-0.002483999999981279,-0.002533009999979185,-0.0006779999999935171,-0.0005210000000488435,-0.0004740000000538202,-8.700000000771979e-05,-0.0009929999999940264
11DOCRTSLtm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11DOCRTSLtr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11DOCRTSTRNtm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
